query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
PPGIJJGB_01780,1448139.AI20_06050,0.0,1141.0,"COG3170@1|root,COG3170@2|Bacteria,1MXV7@1224|Proteobacteria,1RMM5@1236|Gammaproteobacteria,1Y4G8@135624|Aeromonadales",2|Bacteria,NU,COG3170 Tfp pilus assembly protein FimV,fimV,-,-,ko:K08086,-,-,-,-,ko00000,-,-,-,"LysM,TPR_19"
PPGIJJGB_01781,1448139.AI20_06055,2.95e-200,553.0,"COG0101@1|root,COG0101@2|Bacteria,1MUYI@1224|Proteobacteria,1RMK2@1236|Gammaproteobacteria,1Y461@135624|Aeromonadales",2|Bacteria,J,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",truA,"GO:0000049,GO:0001522,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0030312,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:0106029,GO:0140098,GO:0140101,GO:1901360,GO:1901363",5.4.99.12,ko:K06173,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,PseudoU_synth_1
PPGIJJGB_01782,1448139.AI20_06060,1.51e-202,561.0,"COG0777@1|root,COG0777@2|Bacteria,1MW8G@1224|Proteobacteria,1RNDS@1236|Gammaproteobacteria,1Y3KT@135624|Aeromonadales",2|Bacteria,I,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,accD,"GO:0000166,GO:0001676,GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0003729,GO:0003824,GO:0003989,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006163,GO:0006164,GO:0006417,GO:0006629,GO:0006631,GO:0006633,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008270,GO:0008610,GO:0009058,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009317,GO:0009329,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0016053,GO:0016421,GO:0016740,GO:0016874,GO:0016885,GO:0017076,GO:0017148,GO:0018130,GO:0019222,GO:0019438,GO:0019637,GO:0019693,GO:0019752,GO:0030554,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0032553,GO:0032555,GO:0032559,GO:0032787,GO:0032991,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034248,GO:0034249,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0035639,GO:0036094,GO:0042759,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046390,GO:0046394,GO:0046483,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051186,GO:0051188,GO:0051246,GO:0051248,GO:0055086,GO:0060255,GO:0065007,GO:0071616,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0080090,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1902494,GO:1990234,GO:2000112,GO:2000113,GO:2001293,GO:2001295","2.1.3.15,6.4.1.2",ko:K01963,"ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212","M00082,M00376","R00742,R04386","RC00040,RC00253,RC00367","ko00000,ko00001,ko00002,ko01000",-,-,"iJN678.accD,iPC815.YPO2768,iUTI89_1310.UTI89_C2601",Carboxyl_trans
PPGIJJGB_01783,1448139.AI20_06065,7.98e-292,798.0,"COG0285@1|root,COG0285@2|Bacteria,1MVCH@1224|Proteobacteria,1RMB0@1236|Gammaproteobacteria,1Y3KA@135624|Aeromonadales",2|Bacteria,H,Belongs to the folylpolyglutamate synthase family,folC,"GO:0000166,GO:0003674,GO:0003824,GO:0004326,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006761,GO:0006766,GO:0006767,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008841,GO:0009058,GO:0009108,GO:0009110,GO:0009396,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016881,GO:0017076,GO:0017144,GO:0018130,GO:0019438,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0035639,GO:0036094,GO:0042364,GO:0042398,GO:0042558,GO:0042559,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0046452,GO:0046483,GO:0046653,GO:0046654,GO:0046655,GO:0046656,GO:0046872,GO:0046900,GO:0046901,GO:0051186,GO:0051188,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576","6.3.2.12,6.3.2.17",ko:K11754,"ko00790,ko01100,map00790,map01100","M00126,M00841","R00942,R02237,R04241","RC00064,RC00090,RC00162","ko00000,ko00001,ko00002,ko01000",-,-,"iAF987.Gmet_2475,iJN746.PP_1997,iSDY_1059.SDY_2514","Mur_ligase_C,Mur_ligase_M"
PPGIJJGB_01784,1448139.AI20_06070,2.56e-140,402.0,"COG3147@1|root,COG3147@2|Bacteria,1MXHQ@1224|Proteobacteria,1RRKM@1236|Gammaproteobacteria,1Y4SX@135624|Aeromonadales",2|Bacteria,D,Sporulation related domain,dedD,"GO:0000910,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0007049,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0022402,GO:0030428,GO:0031224,GO:0032153,GO:0032506,GO:0042834,GO:0044425,GO:0044464,GO:0051301,GO:0071944,GO:0097367",-,"ko:K02453,ko:K03749","ko03070,ko05111,map03070,map05111",M00331,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.15,-,-,SPOR
PPGIJJGB_01785,380703.AHA_2676,1.16e-78,233.0,"COG2920@1|root,COG2920@2|Bacteria,1RGVG@1224|Proteobacteria,1S5ZA@1236|Gammaproteobacteria,1Y4K4@135624|Aeromonadales",2|Bacteria,P,Part of a sulfur-relay system,tusE,"GO:0002097,GO:0002098,GO:0002143,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016491,GO:0016740,GO:0034227,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0055114,GO:0071704,GO:0090304,GO:0097163,GO:0140104,GO:1901360",-,ko:K11179,"ko04122,map04122",-,-,-,"ko00000,ko00001,ko01000,ko03016",-,-,-,DsrC
PPGIJJGB_01786,1448139.AI20_06080,0.0,1377.0,"COG1289@1|root,COG1289@2|Bacteria,1MWR1@1224|Proteobacteria,1RNIJ@1236|Gammaproteobacteria,1Y3F6@135624|Aeromonadales",2|Bacteria,S,FUSC-like inner membrane protein yccS,yccS,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,"FUSC-like,FUSC_2"
PPGIJJGB_01787,1448139.AI20_06085,2.03e-143,405.0,"COG0670@1|root,COG0670@2|Bacteria,1MU69@1224|Proteobacteria,1RRVZ@1236|Gammaproteobacteria,1Y5NF@135624|Aeromonadales",2|Bacteria,S,Belongs to the BI1 family,yccA,"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0010941,GO:0016020,GO:0016021,GO:0019222,GO:0030162,GO:0031224,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0044425,GO:0044464,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0060255,GO:0060548,GO:0065007,GO:0071944,GO:0080090",-,"ko:K06890,ko:K19416",-,M00742,-,-,"ko00000,ko00002,ko02000",1.A.14.2.1,-,-,Bax1-I
PPGIJJGB_01789,1268237.G114_03362,3.3e-80,238.0,"2973Z@1|root,2ZUC5@2|Bacteria,1P4E0@1224|Proteobacteria,1STDF@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PPGIJJGB_01790,1268237.G114_03367,9.23e-218,602.0,"2DUEE@1|root,33Q87@2|Bacteria,1NQTT@1224|Proteobacteria,1SMJI@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PPGIJJGB_01791,1268237.G114_03372,6.14e-237,653.0,"COG4792@1|root,COG4792@2|Bacteria,1QUEY@1224|Proteobacteria,1T1WF@1236|Gammaproteobacteria",2|Bacteria,U,Type III,yscU,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0044425,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0071702,GO:0071705,GO:0071944",-,ko:K03229,"ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02044","3.A.6.1,3.A.6.3",-,-,Bac_export_2
PPGIJJGB_01792,1268237.G114_03377,5.08e-168,471.0,"COG4791@1|root,COG4791@2|Bacteria,1QMMJ@1224|Proteobacteria,1RTY7@1236|Gammaproteobacteria",2|Bacteria,U,Type III secretion,hrcT,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006605,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0009405,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0033036,GO:0034613,GO:0042886,GO:0044419,GO:0044425,GO:0044464,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051704,GO:0070727,GO:0071702,GO:0071705,GO:0071944",-,"ko:K02421,ko:K03228","ko02040,ko03070,map02040,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02035,ko02044","3.A.6.1,3.A.6.2,3.A.6.3",-,-,Bac_export_1
PPGIJJGB_01793,1268237.G114_03382,2.06e-51,162.0,"COG4794@1|root,COG4794@2|Bacteria,1N6RK@1224|Proteobacteria,1SD82@1236|Gammaproteobacteria",2|Bacteria,U,Type III,yscS,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0044425,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0071702,GO:0071705,GO:0071944",-,ko:K03227,"ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02044","3.A.6.1,3.A.6.3",-,-,Bac_export_3
PPGIJJGB_01794,1268237.G114_03387,1.55e-142,403.0,"COG4790@1|root,COG4790@2|Bacteria,1R34E@1224|Proteobacteria,1RZR2@1236|Gammaproteobacteria",2|Bacteria,U,Type III secretion,ssaR,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0044425,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0071702,GO:0071705,GO:0071944",-,"ko:K03226,ko:K22507","ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02044","3.A.6.1,3.A.6.3",-,-,FliP
PPGIJJGB_01795,1268237.G114_03392,1.92e-211,585.0,"COG1886@1|root,COG1886@2|Bacteria,1REKW@1224|Proteobacteria,1S4ER@1236|Gammaproteobacteria",2|Bacteria,NU,Type III,yscQ,"GO:0002790,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0030254,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0055085,GO:0071702,GO:0071705,GO:0071806",-,ko:K03225,"ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02044",3.A.6.1,-,-,FliMN_C
PPGIJJGB_01796,1268237.G114_03397,2.11e-220,612.0,"2E3P7@1|root,32YMB@2|Bacteria,1NCAI@1224|Proteobacteria,1SFQR@1236|Gammaproteobacteria",2|Bacteria,S,Yop proteins translocation protein P,yscP,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009405,GO:0044419,GO:0044424,GO:0044464,GO:0051704",-,ko:K04057,"ko03070,map03070",M00332,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.6.1,-,-,Flg_hook
PPGIJJGB_01797,1268237.G114_03402,3.58e-78,235.0,"2E59M@1|root,3301X@2|Bacteria,1NASC@1224|Proteobacteria,1SDK4@1236|Gammaproteobacteria",2|Bacteria,S,Type III secretion protein YscO,yscO,-,-,ko:K04056,"ko03070,map03070",M00332,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.6.1,-,-,YscO
PPGIJJGB_01798,1268237.G114_03407,9e-311,847.0,"COG1157@1|root,COG1157@2|Bacteria,1MUH6@1224|Proteobacteria,1RM9W@1236|Gammaproteobacteria,1Y3HK@135624|Aeromonadales",2|Bacteria,NU,COG1157 Flagellar biosynthesis type III secretory pathway ATPase,yscN,-,3.6.3.14,ko:K03224,"ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko01000,ko02044","3.A.6.1,3.A.6.3",-,-,"ATP-synt_ab,ATP-synt_ab_N"
PPGIJJGB_01799,1268237.G114_03412,8.43e-184,514.0,"2DN4K@1|root,32VH1@2|Bacteria,1N3TJ@1224|Proteobacteria,1SF5R@1236|Gammaproteobacteria",2|Bacteria,S,HrpJ-like domain,yopN,"GO:0002790,GO:0002791,GO:0002792,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0009279,GO:0009306,GO:0009405,GO:0009986,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0019867,GO:0030254,GO:0030312,GO:0030313,GO:0031975,GO:0032879,GO:0032880,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0044462,GO:0044464,GO:0045184,GO:0046903,GO:0048519,GO:0048523,GO:0050708,GO:0050709,GO:0050789,GO:0050794,GO:0051046,GO:0051048,GO:0051049,GO:0051051,GO:0051179,GO:0051223,GO:0051224,GO:0051234,GO:0051704,GO:0055085,GO:0065007,GO:0070201,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0090087,GO:1903530,GO:1903531,GO:1904950",-,ko:K04058,"ko03070,map03070",M00332,-,-,"ko00000,ko00001,ko00002,ko02044",-,-,-,"HrpJ,TyeA"
PPGIJJGB_01800,1268237.G114_03417,4.19e-51,162.0,"2DPCX@1|root,331IZ@2|Bacteria,1NAVH@1224|Proteobacteria,1SEHN@1236|Gammaproteobacteria",2|Bacteria,S,TyeA,tyeA,-,-,-,-,-,-,-,-,-,-,-,TyeA
PPGIJJGB_01801,1268237.G114_03422,8.2e-81,239.0,"2EKJ0@1|root,33E8X@2|Bacteria,1NA58@1224|Proteobacteria,1SEVC@1236|Gammaproteobacteria",2|Bacteria,S,protein secretion,sycN,"GO:0002790,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0032940,GO:0033036,GO:0042886,GO:0044424,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944",-,-,-,-,-,-,-,-,-,-,CesT
PPGIJJGB_01802,558884.JRGM01000022_gene1755,5.74e-62,192.0,"2E3TV@1|root,32YR9@2|Bacteria,1NB1J@1224|Proteobacteria,1SE8M@1236|Gammaproteobacteria",2|Bacteria,S,Type III secretion system YscX (type_III_YscX),yscX,"GO:0005575,GO:0005576",-,ko:K04059,"ko03070,map03070",M00332,-,-,"ko00000,ko00001,ko00002,ko02044",-,-,-,Type_III_YscX
PPGIJJGB_01803,1268237.G114_03432,1.78e-73,220.0,"COG0457@1|root,COG0457@2|Bacteria,1NDCK@1224|Proteobacteria,1SFJ0@1236|Gammaproteobacteria",2|Bacteria,O,"Required for Yop secretion. Functions probably as a chaperone which stabilizes YscX within the cell, before its secretion",yscY,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",-,ko:K04060,-,-,-,-,"ko00000,ko02044",-,-,-,-
PPGIJJGB_01804,1268237.G114_03437,0.0,1280.0,"COG4789@1|root,COG4789@2|Bacteria,1R346@1224|Proteobacteria,1T62Z@1236|Gammaproteobacteria,1Y6Q5@135624|Aeromonadales",2|Bacteria,U,FHIPEP family,hrcV,"GO:0002790,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0031224,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0044425,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0071702,GO:0071705,GO:0071944",-,ko:K03230,"ko03070,map03070","M00332,M00542,M00660",-,-,"ko00000,ko00001,ko00002,ko02044","3.A.6.1,3.A.6.3",-,-,FHIPEP
PPGIJJGB_01805,1268237.G114_03442,3.37e-97,283.0,"2E2QB@1|root,32XT5@2|Bacteria,1N5SX@1224|Proteobacteria,1S943@1236|Gammaproteobacteria",2|Bacteria,S,Involved in the down-regulation of lcrGVH transcription in the presence or absence of calcium and is necessary for lcrG protein expression in the absence of calcium. Plays an important role in the regulation of the low-calcium response,lcrR,-,-,-,-,-,-,-,-,-,-,-,LcrR
PPGIJJGB_01806,1268237.G114_03447,6.4e-51,162.0,"2ERMU@1|root,33J7A@2|Bacteria,1NKTI@1224|Proteobacteria,1SHAB@1236|Gammaproteobacteria",2|Bacteria,S,LcrG protein,lcrG,"GO:0008150,GO:0009892,GO:0010468,GO:0010605,GO:0010629,GO:0019222,GO:0048519,GO:0050789,GO:0060255,GO:0065007",-,-,-,-,-,-,-,-,-,-,LcrG
PPGIJJGB_01807,1268237.G114_03452,1.72e-177,502.0,"298H3@1|root,2ZVN5@2|Bacteria,1REP0@1224|Proteobacteria,1S476@1236|Gammaproteobacteria",2|Bacteria,S,V antigen (LcrV) protein,lcrV,"GO:0005575,GO:0005576,GO:0008150,GO:0009405,GO:0044419,GO:0051704",-,-,-,-,-,-,-,-,-,-,LcrV
PPGIJJGB_01808,1268237.G114_03457,1.72e-78,237.0,"COG0457@1|root,COG0457@2|Bacteria,1MZH1@1224|Proteobacteria,1T1FP@1236|Gammaproteobacteria",2|Bacteria,S,Low calcium response locus protein H,sicA,"GO:0006950,GO:0008150,GO:0050896",-,-,-,-,-,-,-,-,-,-,"TPR_19,TPR_3"
PPGIJJGB_01809,1268237.G114_03462,1.38e-185,527.0,"COG5613@1|root,COG5613@2|Bacteria,1R4JI@1224|Proteobacteria,1RQ0U@1236|Gammaproteobacteria",2|Bacteria,S,Secretion system effector C (SseC) like family,yopB,-,-,ko:K13285,"ko05100,ko05131,ko05132,map05100,map05131,map05132",-,-,-,"ko00000,ko00001,ko02000",1.C.36.3,-,-,SseC
PPGIJJGB_01810,1268237.G114_03467,1.35e-147,421.0,"2CD72@1|root,30UVY@2|Bacteria,1REJ9@1224|Proteobacteria,1S3SE@1236|Gammaproteobacteria",2|Bacteria,S,YopD protein,yopD,-,-,-,-,-,-,-,-,-,-,-,YopD
PPGIJJGB_01811,1268237.G114_03472,1.88e-78,236.0,"2F0XM@1|root,33TZ9@2|Bacteria,1NUN3@1224|Proteobacteria,1SNNH@1236|Gammaproteobacteria",2|Bacteria,S,Tir chaperone protein (CesT) family,exsC,-,-,-,-,-,-,-,-,-,-,-,CesT
PPGIJJGB_01812,1268237.G114_03487,7.71e-188,522.0,"COG2207@1|root,COG2207@2|Bacteria,1R6WN@1224|Proteobacteria,1RRR4@1236|Gammaproteobacteria",2|Bacteria,K,COG2207 AraC-type DNA-binding domain-containing proteins,exsA,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0003824,GO:0005488,GO:0006081,GO:0006082,GO:0006089,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009059,GO:0009405,GO:0009438,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016053,GO:0016070,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019172,GO:0019219,GO:0019222,GO:0019243,GO:0019249,GO:0019438,GO:0019752,GO:0031323,GO:0031326,GO:0032774,GO:0032787,GO:0034641,GO:0034645,GO:0034654,GO:0042180,GO:0042182,GO:0043170,GO:0043436,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044419,GO:0046185,GO:0046394,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051596,GO:0051704,GO:0060255,GO:0061727,GO:0065007,GO:0071704,GO:0072330,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1903506,GO:2000112,GO:2001141",-,ko:K20968,"ko02025,map02025",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"AraC_binding,HTH_18"
PPGIJJGB_01813,558884.JRGM01000022_gene1743,2.96e-116,341.0,"2APS1@1|root,31EVW@2|Bacteria,1RJWM@1224|Proteobacteria,1S8IE@1236|Gammaproteobacteria",2|Bacteria,S,Antiactivator protein ExsD,-,-,-,-,-,-,-,-,-,-,-,-,ExsD
PPGIJJGB_01814,1268237.G114_03497,2e-50,162.0,"2E54E@1|root,32ZXD@2|Bacteria,1NC1F@1224|Proteobacteria,1SD6X@1236|Gammaproteobacteria",2|Bacteria,O,Functions as a specific chaperone for YopN. It could facilitate the secretion and the subsequent translocation of YopN,yscB,"GO:0002791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0016020,GO:0032879,GO:0032880,GO:0044424,GO:0044464,GO:0050708,GO:0050789,GO:0050794,GO:0051046,GO:0051049,GO:0051223,GO:0065007,GO:0070201,GO:0071944,GO:0090087,GO:1903530",-,ko:K04049,-,-,-,-,"ko00000,ko02044",3.A.6.1,-,-,CesT
PPGIJJGB_01815,1268237.G114_03502,0.0,1023.0,"COG1450@1|root,COG1450@2|Bacteria,1MV6H@1224|Proteobacteria,1RPIX@1236|Gammaproteobacteria",2|Bacteria,NU,Type III secretion,hrcC,-,-,ko:K03219,"ko03070,map03070","M00332,M00542",-,-,"ko00000,ko00001,ko00002,ko02044","3.A.6.1,3.A.6.3",-,-,"Secretin,Secretin_N,TraK"
PPGIJJGB_01816,1268237.G114_03507,2.49e-263,726.0,"COG1716@1|root,COG1716@2|Bacteria,1R7B5@1224|Proteobacteria,1S0ZR@1236|Gammaproteobacteria",2|Bacteria,T,"Inner membrane component of T3SS, periplasmic domain",yscD,-,-,"ko:K02283,ko:K03220",-,M00332,-,-,"ko00000,ko00002,ko02035,ko02044",3.A.6.1,-,-,"FHA,Yop-YscD_cpl,Yop-YscD_ppl"
PPGIJJGB_01818,1268237.G114_03517,1.51e-34,120.0,"2B5FD@1|root,33INV@2|Bacteria,1NP7A@1224|Proteobacteria,1SIDY@1236|Gammaproteobacteria",2|Bacteria,S,"Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF",-,-,-,ko:K03221,"ko03070,map03070","M00332,M00542",-,-,"ko00000,ko00001,ko00002,ko02044",3.A.6.1,-,-,T3SS_needle_F
PPGIJJGB_01819,1268237.G114_03522,4.15e-69,209.0,"2E2WX@1|root,32XY1@2|Bacteria,1N6MH@1224|Proteobacteria,1S8VB@1236|Gammaproteobacteria",2|Bacteria,S,Bacterial type II secretion system chaperone protein (type_III_yscG),yscG,-,-,ko:K04051,-,-,-,-,"ko00000,ko02044",3.A.6.1,-,-,Type_III_YscG
PPGIJJGB_01820,558884.JRGM01000022_gene1736,1.87e-57,185.0,"2EB7J@1|root,33585@2|Bacteria,1NCH1@1224|Proteobacteria,1SFXF@1236|Gammaproteobacteria",2|Bacteria,S,type iii secretion,yscH,"GO:0002790,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0030254,GO:0030257,GO:0032940,GO:0032991,GO:0033036,GO:0042886,GO:0044419,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0055085,GO:0071702,GO:0071705,GO:0071806",-,ko:K04052,-,-,-,-,"ko00000,ko02044",3.A.6.1,-,-,T3SS_needle_reg
PPGIJJGB_01821,1268237.G114_03532,2.77e-67,204.0,"2ECD5@1|root,336BE@2|Bacteria,1N9JW@1224|Proteobacteria,1SDWY@1236|Gammaproteobacteria",2|Bacteria,S,Type III,yscI,"GO:0002790,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009405,GO:0009987,GO:0015031,GO:0015833,GO:0032940,GO:0033036,GO:0042886,GO:0044419,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051704,GO:0071702,GO:0071705",-,ko:K04053,-,M00332,-,-,"ko00000,ko00002,ko02044",3.A.6.1,-,-,T3SS_basalb_I
